site,date,inverter_id,daily_kwh,daily_kwh_per_kwp
Bissell_Thrift_Shop,2025-09-17,1,38.60695,3.4594
Bissell_Thrift_Shop,2025-09-17,2,36.62618,3.58027
Bissell_Thrift_Shop,2025-09-17,3,33.44044,3.59575
Bissell_Thrift_Shop,2025-09-18,1,36.60321,3.27986
Bissell_Thrift_Shop,2025-09-18,2,33.79694,3.30371
Bissell_Thrift_Shop,2025-09-18,3,30.87032,3.31939
Bissell_Thrift_Shop,2025-09-19,1,34.01753,3.04817
Bissell_Thrift_Shop,2025-09-19,2,31.52387,3.08151
Bissell_Thrift_Shop,2025-09-19,3,28.64438,3.08004
Bissell_Thrift_Shop,2025-09-20,1,34.72948,3.11196
Bissell_Thrift_Shop,2025-09-20,2,31.12548,3.04257
Bissell_Thrift_Shop,2025-09-20,3,29.00942,3.11929
Bissell_Thrift_Shop,2025-09-21,1,24.86597,2.22813
Bissell_Thrift_Shop,2025-09-21,2,23.40466,2.28785
Bissell_Thrift_Shop,2025-09-21,3,21.20944,2.28059
Bissell_Thrift_Shop,2025-09-22,1,38.47845,3.44789
Bissell_Thrift_Shop,2025-09-22,2,34.33632,3.35643
Bissell_Thrift_Shop,2025-09-22,3,32.0074,3.44166
Bissell_Thrift_Shop,2025-09-23,1,35.89186,3.21612
Bissell_Thrift_Shop,2025-09-23,2,32.65038,3.19163
Bissell_Thrift_Shop,2025-09-23,3,29.56751,3.1793
Bissell_Thrift_Shop,2025-09-24,1,17.00216,1.52349
Bissell_Thrift_Shop,2025-09-24,2,15.09835,1.47589
Bissell_Thrift_Shop,2025-09-24,3,13.24681,1.42439
Bissell_Thrift_Shop,2025-09-25,1,32.60329,2.92144
Bissell_Thrift_Shop,2025-09-25,2,30.1609,2.94828
Bissell_Thrift_Shop,2025-09-25,3,27.49674,2.95664
Bissell_Thrift_Shop,2025-09-26,1,34.91708,3.12877
Bissell_Thrift_Shop,2025-09-26,2,31.42859,3.0722
Bissell_Thrift_Shop,2025-09-26,3,29.84968,3.20964
Bissell_Thrift_Shop,2025-09-27,1,21.26144,1.90515
Bissell_Thrift_Shop,2025-09-27,2,19.38593,1.89501
Bissell_Thrift_Shop,2025-09-27,3,17.6416,1.89695
Bissell_Thrift_Shop,2025-09-28,1,22.84883,2.04739
Bissell_Thrift_Shop,2025-09-28,2,20.56593,2.01035
Bissell_Thrift_Shop,2025-09-28,3,18.13382,1.94987
Bissell_Thrift_Shop,2025-09-29,1,18.32744,1.64224
Bissell_Thrift_Shop,2025-09-29,2,16.96195,1.65806
Bissell_Thrift_Shop,2025-09-29,3,14.78483,1.58977
Bissell_Thrift_Shop,2025-09-30,1,10.9882,0.98461
Bissell_Thrift_Shop,2025-09-30,2,10.24863,1.00182
Bissell_Thrift_Shop,2025-09-30,3,8.67242,0.93252
Bissell_Thrift_Shop,2025-10-01,1,17.96387,1.60967
Bissell_Thrift_Shop,2025-10-01,2,15.90024,1.55428
Bissell_Thrift_Shop,2025-10-01,3,13.84859,1.4891
Bissell_Thrift_Shop,2025-10-02,1,30.97924,2.77592
Bissell_Thrift_Shop,2025-10-02,2,28.20351,2.75694
Bissell_Thrift_Shop,2025-10-02,3,26.01269,2.79706
Bissell_Thrift_Shop,2025-10-03,1,25.79056,2.31098
Bissell_Thrift_Shop,2025-10-03,2,24.45282,2.39031
Bissell_Thrift_Shop,2025-10-03,3,23.92358,2.57243
Bissell_Thrift_Shop,2025-10-04,1,19.05627,1.70755
Bissell_Thrift_Shop,2025-10-04,2,17.71889,1.73205
Bissell_Thrift_Shop,2025-10-04,3,15.8298,1.70213
Bissell_Thrift_Shop,2025-10-05,1,31.05359,2.78258
Bissell_Thrift_Shop,2025-10-05,2,28.94616,2.82954
Bissell_Thrift_Shop,2025-10-05,3,27.7555,2.98446
Bissell_Thrift_Shop,2025-10-06,1,19.05401,1.70735
Bissell_Thrift_Shop,2025-10-06,2,17.69441,1.72966
Bissell_Thrift_Shop,2025-10-06,3,15.47276,1.66374
Bissell_Thrift_Shop,2025-10-07,1,20.56653,1.84288
Bissell_Thrift_Shop,2025-10-07,2,19.00597,1.85787
Bissell_Thrift_Shop,2025-10-07,3,17.18315,1.84765
Bissell_Thrift_Shop,2025-10-08,1,22.96198,2.05752
Bissell_Thrift_Shop,2025-10-08,2,20.74321,2.02768
Bissell_Thrift_Shop,2025-10-08,3,18.92424,2.03486
