date,visser_adjusted_kwh
8/24/2025,37.647845637414505
8/25/2025,49.772190982047086
8/26/2025,50.087152685305426
8/27/2025,34.38381942869971
8/28/2025,52.896190540214526
8/29/2025,43.89686747064491
8/30/2025,35.917876164446135
8/31/2025,34.228420288170085
9/1/2025,33.461306990406214
9/2/2025,44.770009959922355
9/3/2025,41.79884415037246
9/4/2025,37.388894634544755
9/5/2025,37.42207800736598
9/6/2025,42.03809279
9/7/2025,39.14250955313331
9/8/2025,25.29832554368284
9/9/2025,32.105801686877705
9/10/2025,34.51202944028756
9/11/2025,30.58641468961307
9/12/2025,33.51274491540526
9/13/2025,27.37766889802655
9/14/2025,34.43923311157827
9/15/2025,34.40106335005272
9/16/2025,23.889651512335284
9/17/2025,28.64762881638836
9/18/2025,30.558287258382922
9/19/2025,38.204622714335436
9/20/2025,27.353039118200172
9/21/2025,35.88070662217902
9/22/2025,36.38161202895187
9/23/2025,34.06045498014926
9/24/2025,34.563246617516945
9/25/2025,35.744567385026016
9/26/2025,20.92067876680012
9/27/2025,34.286249078889455
9/28/2025,28.847408739439498
9/29/2025,21.455628218424202
9/30/2025,29.896818932908182
10/1/2025,32.653521314347245
10/2/2025,32.653521314347245
10/3/2025,49
10/4/2025,33.1
10/5/2025,57.8
10/6/2025,24.3
10/7/2025,30.2
10/8/2025,39.6
10/9/2025,53.7
10/10/2025,49.5
10/11/2025,9.9
10/12/2025,12.4
10/13/2025,40.5
10/14/2025,52.2
10/15/2025,48.5
10/16/2025,48.3
10/17/2025,45.1
10/18/2025,49
10/19/2025,15.9
10/20/2025,10.7
10/21/2025,33.9
10/22/2025,3.3
10/23/2025,41.6
10/24/2025,13.5
10/25/2025,31.2
10/26/2025,7.6
10/27/2025,6.9
10/28/2025,42.7
10/29/2025,23.7
10/30/2025,21
10/31/2025,17
11/1/2025,14.9
11/2/2025,35.7
11/3/2025,29.6
11/4/2025,37.9
11/5/2025,19.5
11/6/2025,1.1
11/7/2025,0.3
11/8/2025,3.3
11/9/2025,13.7
11/10/2025,25.2
11/11/2025,31.5
11/12/2025,30
11/13/2025,13.5
11/14/2025,32.2
11/15/2025,28
11/16/2025,21
11/17/2025,10.1
11/18/2025,3.7
11/19/2025,21.1
11/20/2025,25.1
11/21/2025,10.5
11/22/2025,23.2
11/23/2025,16.9
11/24/2025,21.9
11/25/2025,23.7
11/26/2025,2.5
11/27/2025,2.2
11/28/2025,0.3
11/29/2025,0.7
11/30/2025,0.1
12/1/2025,0.1
12/2/2025,0.9
12/3/2025,0.1
12/4/2025,0.9
12/5/2025,0.1
12/6/2025,0.4
12/7/2025,0.3
12/8/2025,0.4
12/9/2025,0.2
12/10/2025,0.3
12/11/2025,0.1
12/12/2025,0.1
12/13/2025,0.16139955136657946
12/14/2025,0.2
12/15/2025,0.1
12/16/2025,0.2
12/17/2025,0.1
12/18/2025,0.1
12/19/2025,0.2
12/20/2025,0.1
12/21/2025,0.1
12/22/2025,0.1
12/23/2025,0.2
12/24/2025,0.1
12/25/2025,0.12179736613792326
12/26/2025,0.11576927716035697
12/27/2025,0.1022064141437815
12/28/2025,0.11355709901763003
12/29/2025,0.12505172967035172
12/30/2025,0.1466489753792266
12/31/2025,0.1488631396082946
1/1/2026,0.1792433041808986
1/2/2026,0.1
1/3/2026,0.21732074633183043
1/4/2026,0.3143059147275166
1/5/2026,0.5137923180208004
1/6/2026,3.113599288641495
1/7/2026,6.165684070495083
1/8/2026,5.2166581178541325
1/9/2026,5.2166581178541325
1/10/2026,4.753291575177364
1/11/2026,8.3
1/12/2026,0.2
1/13/2026,0.5
1/14/2026,5.6
1/15/2026,13.7
1/16/2026,18.7
1/17/2026,20.4
1/18/2026,11.3
1/19/2026,8.3
1/20/2026,12.2
1/21/2026,8.3
1/22/2026,28.2
1/23/2026,6.510722327070184
1/24/2026,3
1/25/2026,4.8
1/26/2026,3
1/27/2026,11.5
1/28/2026,7.7
1/29/2026,18.1
1/30/2026,11.2
1/31/2026,25.4
2/1/2026,5.1
2/2/2026,19.2
2/3/2026,32.2
2/4/2026,19.5
2/5/2026,39.5
2/6/2026,26.8
2/7/2026,21.1
2/8/2026,30.2
2/9/2026,39.1
2/10/2026,41.1
2/11/2026,32.6
2/12/2026,29.9
