site,date,daily_kwh
Doug_Visser,2025-06-17,82.7
Doug_Visser,2025-06-18,79.4
Doug_Visser,2025-06-19,34.5
Doug_Visser,2025-06-26,89.8
Doug_Visser,2025-06-27,78.6
Doug_Visser,2025-06-28,56.3
Doug_Visser,2025-06-29,93.6
Doug_Visser,2025-06-30,92.1
Doug_Visser,2025-07-01,74.5
Doug_Visser,2025-07-02,86.0
Doug_Visser,2025-07-03,21.0
Doug_Visser,2025-07-04,43.8
Doug_Visser,2025-07-05,86.1
Doug_Visser,2025-07-06,32.6
Doug_Visser,2025-07-07,75.9
Doug_Visser,2025-07-08,85.7
Doug_Visser,2025-07-09,74.0
Doug_Visser,2025-07-10,54.3
Doug_Visser,2025-07-11,10.1
Doug_Visser,2025-07-16,3.2
Doug_Visser,2025-10-03,49.0
Doug_Visser,2025-10-04,33.1
Doug_Visser,2025-10-05,57.8
Doug_Visser,2025-10-06,24.3
Doug_Visser,2025-10-07,30.2
Doug_Visser,2025-10-08,39.6
Doug_Visser,2025-10-09,53.7
Doug_Visser,2025-10-10,49.5
Doug_Visser,2025-10-11,9.9
Doug_Visser,2025-10-12,12.4
Doug_Visser,2025-10-13,40.5
Doug_Visser,2025-10-14,52.2
Doug_Visser,2025-10-15,48.5
Doug_Visser,2025-10-16,48.3
Doug_Visser,2025-10-17,45.1
Doug_Visser,2025-10-18,49.0
Doug_Visser,2025-10-19,15.9
Doug_Visser,2025-10-20,10.7
Doug_Visser,2025-10-21,33.9
Doug_Visser,2025-10-22,3.3
Doug_Visser,2025-10-23,41.6
Doug_Visser,2025-10-24,13.5
Doug_Visser,2025-10-25,31.2
Doug_Visser,2025-10-26,7.6
Doug_Visser,2025-10-27,6.9
Doug_Visser,2025-10-28,42.7
Doug_Visser,2025-10-29,23.7
Doug_Visser,2025-10-30,21.0
Doug_Visser,2025-10-31,17.0
Doug_Visser,2025-11-01,14.9
Doug_Visser,2025-11-02,35.7
Doug_Visser,2025-11-03,29.6
Doug_Visser,2025-11-04,37.9
Doug_Visser,2025-11-05,19.5
Doug_Visser,2025-11-06,1.1
Doug_Visser,2025-11-07,0.3
Doug_Visser,2025-11-08,3.3
Doug_Visser,2025-11-09,13.7
Doug_Visser,2025-11-10,25.2
Doug_Visser,2025-11-11,31.5
Doug_Visser,2025-11-12,30.0
Doug_Visser,2025-11-13,13.5
Doug_Visser,2025-11-14,32.2
Doug_Visser,2025-11-15,28.0
Doug_Visser,2025-11-16,21.0
Doug_Visser,2025-11-17,10.1
Doug_Visser,2025-11-18,3.7
Doug_Visser,2025-11-19,21.1
Doug_Visser,2025-11-20,25.1
Doug_Visser,2025-11-21,10.5
Doug_Visser,2025-11-22,23.2
Doug_Visser,2025-11-23,16.9
Doug_Visser,2025-11-24,21.9
Doug_Visser,2025-11-25,23.7
Doug_Visser,2025-11-26,2.5
Doug_Visser,2025-11-27,2.2
Doug_Visser,2025-11-28,0.3
Doug_Visser,2025-11-29,0.7
Doug_Visser,2025-11-30,0.1
Doug_Visser,2025-12-01,0.1
Doug_Visser,2025-12-02,0.9
Doug_Visser,2025-12-03,0.1
Doug_Visser,2025-12-04,0.9
Doug_Visser,2025-12-05,0.1
Doug_Visser,2025-12-06,0.4
Doug_Visser,2025-12-07,0.3
Doug_Visser,2025-12-08,0.4
Doug_Visser,2025-12-09,0.2
Doug_Visser,2025-12-10,0.3
Doug_Visser,2025-12-11,0.1
Doug_Visser,2025-12-12,0.1
Doug_Visser,2025-12-13,0.0
Doug_Visser,2025-12-14,0.2
Doug_Visser,2025-12-15,0.1
Doug_Visser,2025-12-16,0.2
Doug_Visser,2025-12-17,0.1
Doug_Visser,2025-12-18,0.1
Doug_Visser,2025-12-19,0.2
Doug_Visser,2025-12-20,0.1
Doug_Visser,2025-12-21,0.1
Doug_Visser,2025-12-22,0.1
Doug_Visser,2025-12-23,0.2
Doug_Visser,2025-12-24,0.1
Doug_Visser,2026-01-02,0.1
Doug_Visser,2026-01-03,0.0
Doug_Visser,2026-01-12,0.2
Doug_Visser,2026-01-13,0.5
Doug_Visser,2026-01-14,5.6
Doug_Visser,2026-01-15,13.7
Doug_Visser,2026-01-16,18.7
Doug_Visser,2026-01-17,20.4
Doug_Visser,2026-01-18,11.3
Doug_Visser,2026-01-19,8.3
Doug_Visser,2026-01-20,12.2
Doug_Visser,2026-01-21,8.3
Doug_Visser,2026-01-22,28.2
Doug_Visser,2026-01-23,0.0
Doug_Visser,2026-01-24,3.0
Doug_Visser,2026-01-25,4.8
Doug_Visser,2026-01-26,3.0
Doug_Visser,2026-01-27,11.5
Doug_Visser,2026-01-28,7.7
Doug_Visser,2026-01-29,18.1
Doug_Visser,2026-01-30,11.2
Doug_Visser,2026-01-31,25.4
Doug_Visser,2026-02-01,5.1
Doug_Visser,2026-02-02,19.2
Doug_Visser,2026-02-03,32.2
Doug_Visser,2026-02-04,19.5
Doug_Visser,2026-02-05,39.5
Doug_Visser,2026-02-06,26.8
Doug_Visser,2026-02-07,21.1
Doug_Visser,2026-02-08,30.2
Doug_Visser,2026-02-09,39.1
Doug_Visser,2026-02-10,41.1
Doug_Visser,2026-02-11,32.6
Doug_Visser,2026-02-12,29.9
